Time,Click alternative,Participant,Training,Correct target,Link Density,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,2nd longest dwell,Total dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y
16:21:43:419,Touch Eye Dynamic,1,0,1,4,1607,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.htm,,,,,,,707,666,232,,Blue,0,0,0,0,0,0,1,0,231,0,0,0,0,0,0,231,88.45910645,181.5,63,17,,
16:21:47:573,Touch Eye Dynamic,1,0,1,1,1712,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,,,,,,,483,1010,218,,Yellow,0,0,0,0,1,0,0,0,218,0,0,0,0,218,0,0,848.6203003,533,57,14,,
16:21:53:312,Touch Eye Dynamic,1,0,1,2,3298,file:///C:/wikipedia-schools-3.0.1/wp/p/Portal%253AAsia.htm,,,,,,,783,2300,214,,Blue,0,0,1,0,0,0,1,0,759,0,0,0,0,0,0,545,438,749.5,80,19,,
16:21:57:182,Touch Eye Dynamic,1,0,1,3,1416,file:///C:/wikipedia-schools-3.0.1/wp/i/Indus_River.htm,,,,,,,547,642,226,,Yellow,0,0,0,0,1,1,0,0,226,0,0,0,0,226,0,0,799.59375,721.5,90,19,,
16:22:00:882,Touch Eye Dynamic,1,0,1,5,1212,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,,,,,,,458,546,208,,Cyan,1,1,0,1,1,1,1,0,207,0,0,0,207,0,0,0,88.02263641,302.5,73,15,,
16:22:05:765,Touch Eye Dynamic,1,0,1,6,2439,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,,,,,,,413,974,1051,,Dark Orange,1,1,0,0,1,1,1,108,361,0,108,108,0,0,0,0,87.80323029,282.5,131,15,,
16:22:09:393,Touch Eye Dynamic,1,0,1,1,1193,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.Railway_transport.htm,,,,,,,457,503,232,,Cyan,0,0,0,1,0,0,0,0,231,0,0,0,231,0,0,0,848.7721558,459,101,14,,
16:22:14:625,Touch Eye Dynamic,1,0,1,3,2800,file:///C:/wikipedia-schools-3.0.1/wp/4/4-2-0.htm,,,,,,,1604,976,218,,Cyan,0,0,0,1,0,0,1,0,218,0,0,0,218,0,0,0,878,399.5,40,19,,
16:22:18:464,Touch Eye Dynamic,1,0,1,5,1398,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Religion.htm,,,,,,,447,641,309,,Yellow,1,1,1,0,1,1,1,0,278,0,0,0,0,215,0,0,87.92285156,482.5,47,15,,
16:22:28:951,Touch Eye Dynamic,1,0,1,1,8037,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Religion.Philosophy.htm,,,,,,,745,2872,4418,,Violet,0,0,1,0,0,0,0,28,394,0,0,219,28,0,0,0,657.383606,459,67,14,,
16:22:33:790,Touch Eye Dynamic,1,0,1,6,2405,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Business_Studies.htm,,,,,,,494,1699,211,,Dark Orange,0,1,1,1,0,0,1,0,210,0,210,0,0,0,0,0,88.13080978,222.5,97,15,,
