Time,Click alternative,Participant,Training,Correct target,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Red,Yellow,Dark green,Blue,2nd longest dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y,Calibration Median
14:39:41:064,Mouse,1,0,1,880,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.htm,390,,,,,,,,,489,,,,,,,,,,,,,,,,,88.02263641,302.5,73,15,,,173.5449649
14:39:45:176,Mouse,1,0,1,1081,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Everyday_life.Games.htm,,,,,,,,,,1081,,,,,,,,,,,,,,,,,464.9873047,723,43,14,,,173.5449649
14:39:49:456,Mouse,1,0,1,1265,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,2334,,,,,,,,,1265,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
14:39:53:384,Mouse,1,0,1,899,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,411,,,,,,,,,487,,,,,,,,,,,,,,,,,848.9980469,557,59,14,,,173.5449649
14:39:57:440,Mouse,1,0,1,1035,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,497,,,,,,,,,538,,,,,,,,,,,,,,,,,88.26295471,502.5,47,15,,,173.5449649
14:40:01:328,Mouse,1,0,1,868,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/a/Atmospheric_physics.htm,379,,,,,,,,,489,,,,,,,,,,,,,,,,,517.5,611.5,149,19,,,173.5449649
14:40:05:153,Mouse,1,0,1,800,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Mathematics.htm,1340,,,,,,,,,800,,,,,,,,,,,,,,,,,88.36573029,402.5,73,15,,,173.5449649
14:40:09:163,Mouse,1,0,1,982,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Music.htm,1497,,,,,,,,,982,,,,,,,,,,,,,,,,,88.04478455,422.5,35,15,,,173.5449649
14:40:13:257,Mouse,1,0,1,1073,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,394,,,,,,,,,678,,,,,,,,,,,,,,,,,87.80323029,282.5,131,15,,,173.5449649
14:40:16:978,Mouse,1,0,1,705,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.IT.htm,45,,,,,,,,,660,,,,,,,,,,,,,,,,,88.14930725,362.5,131,15,,,173.5449649
